,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DISTANCE,LABEL
0,2012,12,6,AA,IAH,MIA,FL,600,964.0,0
1,2012,12,7,AA,IAH,MIA,FL,600,964.0,0
2,2012,12,1,AA,IAH,MIA,FL,600,964.0,0
3,2012,12,2,AA,IAH,MIA,FL,600,964.0,0
4,2012,12,3,AA,IAH,MIA,FL,600,964.0,0
5,2012,12,4,AA,IAH,MIA,FL,600,964.0,0
6,2012,12,5,AA,IAH,MIA,FL,600,964.0,0
7,2012,12,6,AA,IAH,MIA,FL,600,964.0,0
8,2012,12,7,AA,IAH,MIA,FL,600,964.0,1
9,2012,12,1,AA,IAH,MIA,FL,600,964.0,1
10,2012,12,2,AA,IAH,MIA,FL,600,964.0,0
11,2012,12,3,AA,IAH,MIA,FL,600,964.0,0
12,2012,12,4,AA,IAH,MIA,FL,600,964.0,0
13,2012,12,5,AA,IAH,MIA,FL,600,964.0,0
14,2012,12,6,AA,IAH,MIA,FL,600,964.0,0
15,2012,12,7,AA,IAH,MIA,FL,600,964.0,0
16,2012,12,1,AA,IAH,MIA,FL,600,964.0,1
17,2012,12,2,AA,IAH,MIA,FL,600,964.0,0
18,2012,12,3,AA,IAH,MIA,FL,600,964.0,0
19,2012,12,4,AA,IAH,MIA,FL,600,964.0,0
20,2012,12,5,AA,IAH,MIA,FL,600,964.0,1
21,2012,12,6,AA,IAH,MIA,FL,600,964.0,0
22,2012,12,7,AA,IAH,MIA,FL,600,964.0,0
23,2012,12,1,AA,IAH,MIA,FL,600,964.0,0
24,2012,12,2,AA,IAH,MIA,FL,600,964.0,0
25,2012,12,3,AA,IAH,MIA,FL,600,964.0,1
26,2012,12,4,AA,IAH,MIA,FL,600,964.0,0
27,2012,12,5,AA,IAH,MIA,FL,600,964.0,0
28,2012,12,6,AA,IAH,MIA,FL,600,964.0,0
29,2012,12,7,AA,IAH,MIA,FL,600,964.0,0
30,2012,12,1,AA,IAH,MIA,FL,600,964.0,0
31,2012,12,6,AA,IAH,DFW,TX,1600,224.0,0
32,2012,12,7,AA,IAH,DFW,TX,1600,224.0,0
33,2012,12,1,AA,IAH,DFW,TX,1600,224.0,1
34,2012,12,2,AA,IAH,DFW,TX,1600,224.0,1
35,2012,12,3,AA,IAH,DFW,TX,1600,224.0,0
36,2012,12,4,AA,IAH,DFW,TX,1600,224.0,1
37,2012,12,5,AA,IAH,DFW,TX,1600,224.0,0
38,2012,12,6,AA,IAH,DFW,TX,1600,224.0,0
39,2012,12,7,AA,IAH,DFW,TX,1600,224.0,0
40,2012,12,1,AA,IAH,DFW,TX,1600,224.0,1
41,2012,12,2,AA,IAH,DFW,TX,1600,224.0,0
42,2012,12,3,AA,IAH,DFW,TX,1600,224.0,0
43,2012,12,4,AA,IAH,DFW,TX,1600,224.0,1
44,2012,12,5,AA,IAH,DFW,TX,1600,224.0,1
45,2012,12,6,AA,IAH,DFW,TX,1600,224.0,0
